activityName,activityCategoryName,activityStartDate [ms],activityStartDate,activityEndDate [ms],activityEndDate,activityDuration [ms],activityDuration,note
Sleep,Sleep,1.73828E+12,Fri Jan 31 00:58:00 GMT+01:00 2025,1.73828E+12,Fri Jan 31 01:34:00 GMT+01:00 2025,2160000,36 min,
Work Training,Relax & Wonder,1.73828E+12,Fri Jan 31 01:34:00 GMT+01:00 2025,1.73829E+12,Fri Jan 31 02:57:02 GMT+01:00 2025,4933539,1 h 22 min,
Sports,Work,1.73828E+12,Fri Jan 31 01:55:00 GMT+01:00 2025,1.73829E+12,Fri Jan 31 04:22:54 GMT+01:00 2025,8825177,2 h 27 min,
Sleep,Sleep,1.73829E+12,Fri Jan 31 02:01:00 GMT+01:00 2025,1.73832E+12,Fri Jan 31 11:00:00 GMT+01:00 2025,32340000,8 h 59 min,
Social,Active,1.73832E+12,Fri Jan 31 11:00:00 GMT+01:00 2025,1.73832E+12,Fri Jan 31 12:27:18 GMT+01:00 2025,5189361,1 h 26 min,
Guilt free Media,Relax & Wonder,1.73832E+12,Fri Jan 31 11:17:00 GMT+01:00 2025,1.73832E+12,Fri Jan 31 11:18:49 GMT+01:00 2025,60000,1 min,
w_Start-up,Responsibilities ,1.73832E+12,Fri Jan 31 11:33:00 GMT+01:00 2025,1.73833E+12,Fri Jan 31 13:55:03 GMT+01:00 2025,8474735,2 h 21 min,
Process Emotions,Screen Relaxation,1.73832E+12,Fri Jan 31 11:50:00 GMT+01:00 2025,1.73833E+12,Fri Jan 31 14:31:13 GMT+01:00 2025,9624578,2 h 40 min,
Dating ,Active,1.73832E+12,Fri Jan 31 12:36:00 GMT+01:00 2025,1.73834E+12,Fri Jan 31 17:01:24 GMT+01:00 2025,15874929,4 h 24 min,
Work Architecture ,Active,1.73833E+12,Fri Jan 31 13:39:00 GMT+01:00 2025,1.73833E+12,Fri Jan 31 13:40:49 GMT+01:00 2025,60000,1 min,
Screen-free Meals/Breaks,Relax & Wonder,1.73833E+12,Fri Jan 31 14:14:00 GMT+01:00 2025,1.73833E+12,Fri Jan 31 15:18:53 GMT+01:00 2025,3844456,1 h 4 min,
Social,Emotional Work,1.73833E+12,Fri Jan 31 14:25:00 GMT+01:00 2025,1.73833E+12,Fri Jan 31 14:26:49 GMT+01:00 2025,60000,1 min,
Work Architecture ,Responsibilities ,1.73833E+12,Fri Jan 31 14:27:00 GMT+01:00 2025,1.73834E+12,Fri Jan 31 15:53:16 GMT+01:00 2025,5127521,1 h 25 min,
Dating ,Relax & Wonder,1.73833E+12,Fri Jan 31 14:38:00 GMT+01:00 2025,1.73833E+12,Fri Jan 31 14:48:22 GMT+01:00 2025,573049,9 min,
AWS AI,Responsibilities ,1.73833E+12,Fri Jan 31 15:18:00 GMT+01:00 2025,1.73834E+12,Fri Jan 31 18:18:43 GMT+01:00 2025,10794186,2 h 59 min,
Life Architecture,Responsibilities ,1.73833E+12,Fri Jan 31 15:29:00 GMT+01:00 2025,1.73833E+12,Fri Jan 31 15:30:49 GMT+01:00 2025,60000,1 min,
Play music,Screen Relaxation,1.73834E+12,Fri Jan 31 15:52:00 GMT+01:00 2025,1.73834E+12,Fri Jan 31 15:53:49 GMT+01:00 2025,60000,1 min,
Cooking,Active,1.73834E+12,Fri Jan 31 16:02:00 GMT+01:00 2025,1.73834E+12,Fri Jan 31 16:17:40 GMT+01:00 2025,891209,14 min,
Screen-free Meals/Breaks,Work,1.73834E+12,Fri Jan 31 16:08:00 GMT+01:00 2025,1.73834E+12,Fri Jan 31 16:09:49 GMT+01:00 2025,60000,1 min,
AWS AI,Screen Relaxation,1.73834E+12,Fri Jan 31 16:26:00 GMT+01:00 2025,1.73834E+12,Fri Jan 31 18:05:55 GMT+01:00 2025,5946116,1 h 39 min,
w_Start-up,Screen Relaxation,1.73834E+12,Fri Jan 31 18:34:00 GMT+01:00 2025,1.73834E+12,Fri Jan 31 18:35:49 GMT+01:00 2025,60000,1 min,
Daily Planning,Responsibilities ,1.73835E+12,Fri Jan 31 18:41:00 GMT+01:00 2025,1.73835E+12,Fri Jan 31 19:31:06 GMT+01:00 2025,2957734,49 min,
Coding,Connect,1.73835E+12,Fri Jan 31 18:46:00 GMT+01:00 2025,1.73835E+12,Fri Jan 31 18:47:49 GMT+01:00 2025,60000,1 min,
Hygiene & Styling,Active,1.73835E+12,Fri Jan 31 18:51:00 GMT+01:00 2025,1.73835E+12,Fri Jan 31 19:17:04 GMT+01:00 2025,1515507,25 min,
Friends & Family,Emotional Work,1.73835E+12,Fri Jan 31 19:28:00 GMT+01:00 2025,1.73836E+12,Fri Jan 31 22:09:25 GMT+01:00 2025,9636006,2 h 40 min,
Wellness ,Screen Relaxation,1.73835E+12,Fri Jan 31 20:37:00 GMT+01:00 2025,1.73836E+12,Fri Jan 31 21:50:00 GMT+01:00 2025,4331460,1 h 12 min,
AWS ML Associate,Work,1.73835E+12,Fri Jan 31 21:20:00 GMT+01:00 2025,1.73835E+12,Fri Jan 31 21:21:49 GMT+01:00 2025,60000,1 min,
Needed Tech Config,Connect,1.73836E+12,Fri Jan 31 21:25:00 GMT+01:00 2025,1.73836E+12,Fri Jan 31 22:11:00 GMT+01:00 2025,2711015,45 min,
Tech Config,Connect,1.73836E+12,Fri Jan 31 21:48:00 GMT+01:00 2025,1.73836E+12,Fri Jan 31 22:36:42 GMT+01:00 2025,2914558,48 min,
